Operator_Timestamp,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,Stanford_timestamp,Satellite,Team,UnblindingStage,cr_quad_scfh,PipeSize_inch,MeterCode,cr_scfh_mean300,cr_scfh_mean600,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
2021-10-19 18:24:58+00:00,188,4069,6322,1816,+/- 1 sigma,0.96373,4.321728,UnknownSentinel2Direction,2021-10-19 18:24:58+00:00,Sentinel-2,Harvard,1,409664.08,8,218645,398438,382613,7172,6799,7573,6880,6520,7229
2021-10-19 18:24:58+00:00,,5684,7053,4315,+/- 1 sigma,1.545715,,,2021-10-19 18:24:58+00:00,Sentinel-2,Harvard,2,409664.08,8,218645,398438,382613,7172,6799,7614,6892,6538,7290
2021-10-22 18:34:54+00:00,148,2102,3056,1148,+/- 1 sigma,1.764591,269.780224,UnknownSentinel2Direction,2021-10-22 18:34:54+00:00,Sentinel-2,Harvard,1,92870.1,4,218645,93016,93858,1677,1595,1771,1688,1593,1792
2021-10-22 18:34:54+00:00,,2652,3335,1969,+/- 1 sigma,2.373983,,,2021-10-22 18:34:54+00:00,Sentinel-2,Harvard,2,92870.1,4,218645,93016,93858,1676,1591,1773,1690,1601,1794
2021-10-24 18:25:02+00:00,FR,FR,FR,FR,FR,FR,FR,UnknownSentinel2Direction,2021-10-24 18:25:02+00:00,Sentinel-2,Harvard,1,225354,8,218645,221737,219168,3987,3770,4223,3949,3726,4184
2021-10-24 18:25:02+00:00,,FR,FR,FR,FR,FR,,,2021-10-24 18:25:02+00:00,Sentinel-2,Harvard,2,225354,8,218645,221737,219168,3995,3774,4238,3950,3742,4159
2021-10-27 18:26:30+00:00,1020.9,5645,,,2098,3.744716667,,,2021-10-27 18:26:30+00:00,Sentinel-2,Harvard,2,188145,8,218645,190817,192626,3443,3252,3642,3470,3279,3689
2021-10-27 18:34:57+00:00,187,5187,6956,3418,+/- 1 sigma,4.407491,7.410631,UnknownSentinel2Direction,2021-10-27 18:34:57+00:00,Sentinel-2,Harvard,1,195078,8,218645,194121,191475,3496,3296,3696,3449,3274,3653
2021-10-27 18:34:57+00:00,,4447,5582,3312,+/- 1 sigma,3.699061,,,2021-10-27 18:34:57+00:00,Sentinel-2,Harvard,2,195078,8,218645,194121,191475,3496,3298,3695,3447,3255,3634
2021-10-29 18:24:58+00:00,122,2762,3915,1609,+/- 1 sigma,2.448409,10.779561,UnknownSentinel2Direction,2021-10-29 18:24:58+00:00,Sentinel-2,Harvard,1,281513,8,218645,278775,262686,5010,4747,5275,4730,4472,5014
2021-10-29 18:24:58+00:00,,4757,5890,3624,+/- 1 sigma,4.727615,,,2021-10-29 18:24:58+00:00,Sentinel-2,Harvard,2,281513,8,218645,278775,262686,5028,4768,5283,4728,4476,5004
2021-11-01 18:35:00+00:00,0,0,0,0,0,,,,2021-11-01 18:35:00+00:00,Sentinel-2,Harvard,1,0,4,308188,0,0,0,0,0,0,0,0
2021-11-01 18:35:00+00:00,0,0,0,0,0,,,,2021-11-01 18:35:00+00:00,Sentinel-2,Harvard,2,0,4,308188,0,0,0,0,0,0,0,0
2021-11-03 18:25:01+00:00,115,1300,1878,722,+/- 1 sigma,2.595344,3.860544,UnknownSentinel2Direction,2021-11-03 18:25:01+00:00,Sentinel-2,Harvard,1,76596.4,4,308188,77025,77539,1385,1308,1457,1398,1324,1482
2021-11-03 18:25:01+00:00,,1787,2333,1241,+/- 1 sigma,3.798211,,,2021-11-03 18:25:01+00:00,Sentinel-2,Harvard,2,76596.4,4,308188,77025,77539,1386,1305,1474,1393,1315,1471