Operator_Timestamp,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,Stanford_timestamp,OperatorSet,Satellite,Team,UnblindingStage,PipeSize_inch,MeterCode,cr_scfh_mean300,cr_scfh_mean600,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
2021-10-19 18:24:58+00:00,188,4069,6322,1816,+/- 1 sigma,+/- 1 sigma,0.96373,4.321728,UnknownSentinel2Direction,2021-10-19 18:24:58+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,1,8,218645,398437.5124,382612.9314,7172.378825,6799.254217,7572.565193,6879.60842,6519.634869,7229.373207
2021-10-19 18:24:58+00:00,,5684,7053,4315,+/- 1 sigma,+/- 1 sigma,1.545715,,,2021-10-19 18:24:58+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,2,8,218645,398437.5124,382612.9314,7172.192737,6798.811983,7614.227021,6892.161381,6537.852592,7289.533323
2021-10-22 18:34:54+00:00,148,2102,3056,1148,+/- 1 sigma,+/- 1 sigma,1.764591,269.780224,UnknownSentinel2Direction,2021-10-22 18:34:54+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,1,4,218645,93015.67433,93858.35217,1677.160935,1595.468017,1771.02033,1687.571382,1592.603341,1792.460278
2021-10-22 18:34:54+00:00,,2652,3335,1969,+/- 1 sigma,+/- 1 sigma,2.373983,,,2021-10-22 18:34:54+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,2,4,218645,93015.67433,93858.35217,1675.57428,1590.523792,1772.813729,1690.149569,1600.974901,1793.522765
2021-10-24 18:25:02+00:00,FR,FR,FR,FR,FR,,FR,FR,UnknownSentinel2Direction,2021-10-24 18:25:02+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,1,8,218645,221737.3633,219167.5233,3987.467105,3770.156828,4222.502363,3948.613397,3725.826193,4183.669854
2021-10-24 18:25:02+00:00,,FR,FR,FR,FR,,FR,,,2021-10-24 18:25:02+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,2,8,218645,221737.3633,219167.5233,3994.631268,3773.663656,4238.28868,3949.517093,3741.828893,4159.463221
2021-10-27 18:34:57+00:00,187,5187,6956,3418,+/- 1 sigma,+/- 1 sigma,4.407491,7.410631,UnknownSentinel2Direction,2021-10-27 18:34:57+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,1,8,218645,194120.9667,191475.1033,3496.442265,3295.684167,3695.504415,3448.795506,3274.184564,3653.418224
2021-10-27 18:34:57+00:00,,4447,5582,3312,+/- 1 sigma,+/- 1 sigma,3.699061,,,2021-10-27 18:34:57+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,2,8,218645,194120.9667,191475.1033,3496.216737,3298.003318,3694.927192,3447.142272,3254.997627,3634.370596
2021-10-29 18:24:58+00:00,122,2762,3915,1609,+/- 1 sigma,+/- 1 sigma,2.448409,10.779561,UnknownSentinel2Direction,2021-10-29 18:24:58+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,1,8,218645,278775.0433,262685.7583,5009.809,4747.300222,5274.573235,4729.848908,4471.775854,5013.904597
2021-10-29 18:24:58+00:00,,4757,5890,3624,+/- 1 sigma,+/- 1 sigma,4.727615,,,2021-10-29 18:24:58+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,2,8,218645,278775.0433,262685.7583,5028.113167,4767.872589,5283.206478,4727.858195,4475.980624,5003.564908
2021-11-01 18:35:00+00:00,0,0,0,0,0,,,,,2021-11-01 18:35:00+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,1,4,308188,0,0,0,0,0,0,0,0
2021-11-01 18:35:00+00:00,0,0,0,0,0,,,,,2021-11-01 18:35:00+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,2,4,308188,0,0,0,0,0,0,0,0
2021-11-03 18:25:01+00:00,115,1300,1878,722,+/- 1 sigma,+/- 1 sigma,2.595344,3.860544,UnknownSentinel2Direction,2021-11-03 18:25:01+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,1,4,308188,77025.21667,77539.2735,1384.947367,1307.601843,1457.370941,1398.281056,1324.419033,1481.934983
2021-11-03 18:25:01+00:00,,1787,2333,1241,+/- 1 sigma,+/- 1 sigma,3.798211,,,2021-11-03 18:25:01+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,2,4,308188,77025.21667,77539.2735,1386.410157,1305.17333,1473.576332,1393.132069,1315.149488,1471.249308