,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900
0,1672,,1.0,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,3.72,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1633.6287391189176,1532.0706368503772,1734.2957267549077,1638.356935333972,1537.9106311005817,1741.6105512457511,1629.6478991494525,1526.8378175999524,1734.7695872994377,1674.837055574909,1562.001057197118,1779.2917422594123,1693.1010030468228,1547.5039453776644,1830.4518410118585,1671.4154128565137,1488.852637159358,1850.380843707951
1,1724,,1.0,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,4.27,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1633.6036270795908,1532.4313523825347,1733.985380146403,1631.6423323187605,1531.3694666143615,1732.8377049229734,1634.7330217552314,1538.739264123073,1728.4619694189246,1669.8070502953617,1569.6887198298782,1772.1096010649053,1698.9512121001687,1547.5623966462758,1842.3116554346057,1678.4546735571894,1498.796424798783,1863.347140014675
2,1673,,2.0,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4236.876687162974,4003.2370328235183,4478.7671588415815,4234.381274614487,4029.1097715759697,4478.584454512645,4238.1174079212215,4009.651000213759,4479.169823175247,4242.958664001423,4057.499488165874,4489.855115243294,4231.992185556466,4011.4267011004513,4476.112030488464,4214.71189646219,3983.1850411770174,4466.284443422783
3,1725,,2.0,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4235.631266232628,4002.394436250431,4469.317845307384,4229.243114950974,3980.5272525625223,4482.924536510933,4227.3227811162305,4004.680930838319,4480.93232385902,4232.271420798481,4005.982477495414,4436.112447725138,4226.955011642013,4015.809033434548,4469.324597507926,4200.364636494363,3998.1055094379753,4418.420818933137
4,1674,,3.0,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.15570033863114,185.85404776577462,208.49576179495142,196.94447695551264,185.510244476657,209.12585087522018,196.59371229256573,185.88897213074875,207.41891912357482,197.22599163977543,185.83600518641464,208.10518808005526,198.41498230625734,187.8657957383157,209.84914825571101,147.9025379464234,139.56159917144225,156.08053630286724
5,1726,,3.0,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.08167425515438,185.83326984158663,208.21312213708754,196.38998194623716,185.66946704464107,208.48712474513837,196.84407980107724,186.2913535524259,208.74562986580332,197.62170379275517,186.30707114385868,209.9771009148527,198.43011122108703,188.0155844014322,209.3394546987048,147.73933817950066,139.85070581731583,156.84419199665427
6,1676,,,1.0,1.0,,2021-11-03 17:22:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-03 17:22:00+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,,,,6390.1,2.0,218645.0,6390.1,False,,6371.826666666666,6375.1150000000025,6374.798888888897,6360.215999999995,6341.749999999992,6109.344666666654,AZ,3.702333333333331,3.573,3.4016666666666646,2.9348000000000076,2.7705166666666647,2.7705166666666647,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:07:48+00:00,0.0,2015.0,2907.629999999999,True,14.2,True,TP,1.0,114.9806081996656,108.14157508884185,121.95434792352256,114.56470571132864,107.6314556997942,122.1695259288619,114.66855943445104,107.64687697073964,121.73512728842977,114.43252279679177,107.57605441108848,121.85767151028321,114.15117614670925,107.64600863529081,121.31935570702444,110.22141146528544,103.36173048651658,117.34193819861709
7,1728,,,1.0,1.0,,2021-11-03 17:22:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-03 17:22:00+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,,,,6390.1,2.0,218645.0,6390.1,False,,6371.826666666666,6375.1150000000025,6374.798888888897,6360.215999999995,6341.749999999992,6109.344666666654,AZ,3.702333333333331,3.573,3.4016666666666646,2.9348000000000076,2.7705166666666647,2.7705166666666647,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,2021-11-03 17:07:48+00:00,0.0,2015.0,2907.629999999999,True,14.2,True,TP,1.0,114.94700593711161,108.02846804710987,121.88002508570864,115.26504801486,108.3062690400122,122.48649640923733,114.80995627582182,107.8566388623833,121.34291827305427,114.56531141518909,107.69373010553619,121.4206284450365,114.34310243686565,107.87441952349351,121.75551220297142,109.99429149392137,103.40808072254237,116.40617587178855
8,1677,,4.0,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445,2494,,,966,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,1,,PRISMA,UPV,UT 1 sigma,,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.639168787285,2201.043806323532,2474.632475461214,2347.909172562807,2213.503924809974,2492.070060844858,2289.749030435973,2154.8318762596327,2428.2411208260764,2353.7281958132667,2219.321982081432,2501.8066528604704,2406.6907452675023,2216.646548394616,2595.9275587033057,2527.852552408647,2247.126644466941,2812.5384004990046
9,1701,,27.0,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,3.8,359,191,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.8050487537503,2201.9682871888963,2473.077216256327,2348.162669324342,2213.2551892342585,2480.964928691602,2294.23233922486,2162.907247714322,2424.4411215959108,2345.0232738179843,2204.416537636355,2489.842502432145,2408.8124620113763,2216.1978794468205,2616.8622448196875,2519.8449703916613,2241.270332074975,2813.862289366769
10,1729,,4.0,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445,3778,,,1614,6.943938356,,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,2,,PRISMA,UPV,UT 1 sigma,,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2337.0487389791724,2200.8797136263534,2472.4548599069094,2344.815783288806,2210.163983270113,2485.678650235183,2293.625460588199,2165.7842436429983,2431.112888237014,2353.4267034112945,2200.1102502879603,2506.111698302464,2414.1682226830385,2224.2392922217987,2614.2195033578173,2527.539901314291,2208.861629119956,2821.5029269382712
11,1753,,27.0,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,3379,4328,2430,1-sigma confidence interval,6.18,15.1,191.0,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,2,,PRISMA,Kayrros,+/- 1 sigma,,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2335.8887706041405,2198.5710497761715,2468.7366320063093,2346.6110428321967,2218.2089742093335,2492.0054986263353,2291.981369627849,2164.0844464643465,2423.295558023516,2345.8440497185393,2194.1221803929748,2494.8764283054416,2409.8278606672075,2219.983693922206,2616.6211057167357,2542.7396164892566,2266.602401667453,2829.2273160267778
12,1678,,5.0,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,,PRISMA/UPV,1,,PRISMA,UPV,UT 1 sigma,,,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4494.9504105929855,4250.110217861712,4744.3531315971495,4485.290101782433,4249.363460846118,4751.073836949947,4509.769322531193,4262.952848761578,4750.785571358521,4464.329428243468,4236.557138093522,4737.78093376925,4323.205995897119,4089.294484370895,4584.812846112289,4266.740853609137,4042.7645287585665,4517.174718422755
13,1702,,28.0,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,3561,4401,2721,1-sigma confidence interval,2.2,6,191,,,2021-10-21 18:23:12+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4495.924979088363,4252.180464905164,4751.569110168184,4482.56921147515,4240.717802505163,4749.698722043618,4511.560494485442,4271.548802365247,4770.91741753598,4470.588071601945,4234.368210155612,4714.898132047668,4312.274549868583,4089.3950115577372,4553.11662618408,4283.113659582864,4052.1907960121134,4527.031180016587
14,1730,,5.0,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,6469,,,2434,3.935766667,,,,,2021-10-21 18:23:12+00:00,,,PRISMA/UPV,2,,PRISMA,UPV,UT 1 sigma,,,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4494.170662548642,4249.103190442617,4744.018012458875,4497.160805463455,4286.805723704462,4753.615401589306,4511.527285672255,4271.371789172143,4763.914916321002,4473.356715496292,4245.2967850653995,4731.086495015983,4322.32154266754,4095.1890977585626,4540.344877872894,4271.21970253562,4037.839863824391,4489.047035614018
15,1754,,28.0,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,4781,5727,3835,1-sigma confidence interval,3.89,42.9,191.0,,,2021-10-21 18:23:12+00:00,,,PRISMA/Kayrros,2,,PRISMA,Kayrros,+/- 1 sigma,,,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4496.996224157784,4253.318251438998,4751.58276685383,4492.880405811973,4263.530629500486,4720.75118846519,4514.98142786364,4277.283794933943,4791.7447671308655,4482.033652934166,4228.7379139545465,4738.671986285019,4312.494142085414,4097.431779156643,4560.557755081062,4273.612187349091,4044.5749157339424,4518.553423991589
16,1679,,6.0,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,7226,,,2890,5.155525006,183.9472,,,,2021-10-27 18:26:30+00:00,,,PRISMA/UPV,1,,PRISMA,UPV,UT 1 sigma,,,188145.0,8.0,218645.0,188145.0,False,,187899.5999999997,188305.3000000003,188790.54444444456,190816.70666666978,192626.13333333013,182011.75111110907,AZ,3.937333333333333,4.453833333333335,4.421111111111116,4.0885333333333485,3.746483333333321,3.746483333333321,59.9,64.06666666666666,63.93333333333333,51.00666666666667,45.85333333333333,52.35333333333333,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3391.428263287837,3203.6753619483993,3580.4675650272648,3393.9740632441076,3201.032630955887,3592.2775701198207,3395.2127351154445,3199.925342184256,3596.139221077703,3439.065451788326,3264.325539500058,3635.5297763713224,3459.607050734018,3280.733307244879,3669.04289647962,3272.2264575484564,3108.9464492002544,3461.8177482608676
17,1703,,29.0,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,422,5479,6821,4137,1-sigma confidence interval,3.8,350,191,,,2021-10-27 18:26:30+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,188145.0,8.0,218645.0,188145.0,False,,187899.5999999997,188305.3000000003,188790.54444444456,190816.70666666978,192626.13333333013,182011.75111110907,AZ,3.937333333333333,4.453833333333335,4.421111111111116,4.0885333333333485,3.746483333333321,3.746483333333321,59.9,64.06666666666666,63.93333333333333,51.00666666666667,45.85333333333333,52.35333333333333,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3389.2634269583823,3200.80209021289,3578.643817286877,3390.8166571663683,3210.2255458810896,3599.906428570074,3397.690388495323,3202.9984738993353,3586.176094211756,3435.8700839209023,3235.4125227732247,3637.881174078922,3465.153843736913,3288.860930500707,3656.9338608719117,3277.9597011624446,3089.822473005269,3455.4260546381165
18,1731,,6.0,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,5645,,,2098,3.744716667,,,,,2021-10-27 18:26:30+00:00,,,PRISMA/UPV,2,,PRISMA,UPV,UT 1 sigma,,,188145.0,8.0,218645.0,188145.0,False,,187899.5999999997,188305.3000000003,188790.54444444456,190816.70666666978,192626.13333333013,182011.75111110907,AZ,3.937333333333333,4.453833333333335,4.421111111111116,4.0885333333333485,3.746483333333321,3.746483333333321,59.9,64.06666666666666,63.93333333333333,51.00666666666667,45.85333333333333,52.35333333333333,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3389.3541525433375,3201.3599095197096,3581.1745412783785,3384.4862027181057,3219.61946722037,3567.375737815165,3405.268749512592,3231.601738898551,3603.0095719596093,3435.232113614931,3265.755352761461,3619.001375508168,3475.263792746055,3283.7762528261683,3666.0062352092464,3274.495102648589,3103.6974149125645,3468.497893760628
19,1755,,29.0,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,422,5051,6454,3648,1-sigma confidence interval,3.36,46.7,191.0,,,2021-10-27 18:26:30+00:00,,,PRISMA/Kayrros,2,,PRISMA,Kayrros,+/- 1 sigma,,,188145.0,8.0,218645.0,188145.0,False,,187899.5999999997,188305.3000000003,188790.54444444456,190816.70666666978,192626.13333333013,182011.75111110907,AZ,3.937333333333333,4.453833333333335,4.421111111111116,4.0885333333333485,3.746483333333321,3.746483333333321,59.9,64.06666666666666,63.93333333333333,51.00666666666667,45.85333333333333,52.35333333333333,2021-10-27 18:13:45+00:00,0.0,2011.0,2812.0099999999998,True,12.75,True,TP,1.0,3390.7550623542593,3198.5124800144854,3583.6688296474986,3391.7291100717885,3197.0066116533108,3585.3670463102662,3399.659529726706,3210.227723396073,3588.1281137976193,3442.081600097445,3255.9238308310323,3627.0060787440725,3467.5328383980664,3297.435408986784,3656.4624245332407,3280.5228368148346,3104.4979773546775,3489.901202431975
